sales_id	sale_date	client_name	client_nip	book_id	quantity_sold	unit_price	netto_value	brutto_value
1950583438	2024-01-29	Klient 1	1097766303	10	8	47.53	380.24	467.7
89802418	2023-08-28	Klient 4	1108473279	2	4	46.87	187.48	230.6
275945340	2023-12-16	Klient 3	1691368758	6	2	41.91	83.82	103.1
1853133374	2024-04-24	Klient 1	1097766303	4	5	17.2	86.0	105.78
1328742413	2023-07-02	Klient 3	1691368758	10	6	47.53	285.18	350.77
1538053290	2024-01-20	Klient 1	1097766303	7	5	22.01	110.05	135.36
1395079925	2023-09-21	Klient 0	1466462054	6	9	41.91	377.19	463.94
752972558	2023-05-23	Klient 0	1466462054	4	1	17.2	17.2	21.16
996529363	2024-04-05	Klient 0	1466462054	1	1	47.69	47.69	58.66
634612339	2023-08-02	Klient 2	2137230999	6	7	41.91	293.37	360.85
